n,k,beta,rbar_minus_A,min_P,max_Q_hat,max_K0,max_K1
23,1,-19,-14.523482757316156,48.860574289452266,-0.34891683794659006,-4.800749528982403,-4.683208453013351
23,2,-19,-3.4904771422185408,38.835826263144355,-1.4576212456631727,-5.425939439463038,-4.742227860554703
23,3,-19,-1.969074831098285,35.49207989678574,-2.8378742240336505,-7.041776311538355,-5.864133775798925
23,4,-19,-1.3696487647210598,36.22865773658181,-3.659067724274327,-8.764228981584322,-6.597291866809372
23,5,-19,-1.0495395230299893,43.63790118480375,-4.403141916324254,-9.661399291201928,-6.5133868384220275
23,6,-19,-0.850471100097659,67.02585292966641,-5.093511462885627,-10.005542684326123,-5.89324282158852
23,7,-19,-0.7146959024059041,74.01276687207827,-5.736615299752503,-9.910338157197756,-4.752741445643914
23,8,-19,-0.6161430572992879,76.57510363452899,-6.336548170543629,-9.419083707817697,-2.835620888656189
23,9,-18,-1.299254969719375,77.52906579267895,-6.129733817099122,-13.718264738254687,-9.772834199585796
23,10,-18,-1.122718558579859,78.57728102936555,-6.5862164752931065,-12.609995725596672,-7.21215722974472
23,11,-18,-0.9863555586978557,79.75513700938804,-6.988950832278775,-11.056823854323463,-3.044452004392082
23,12,-17,-1.511255286345681,80.22363322719183,-6.516058889794593,-15.963950756932913,-11.822548105329753
23,13,-17,-1.3238808979101568,82.61778172090617,-6.748454516719875,-13.880966104990993,-7.654545237818878
23,14,-17,-1.1737753828457222,84.90825686549275,-6.905109384885112,-11.364510591301935,-0.4723851012816058
23,15,-16,-1.564107175340038,85.88690874024337,-6.255646838269552,-14.964076193126669,-10.640569035231117
23,16,-16,-1.3780879554084007,88.62227827250967,-6.196898619419866,-11.787204515165286,-3.6494510057095058
23,17,-15,-1.6978643712360277,89.14975792153288,-5.436796351665917,-13.308307924393423,-10.457154749640512
23,18,-15,-1.4797320165374728,91.42443332040834,-5.0944326286113455,-9.071597223072434,-2.60494780254536
23,19,-14,-1.6963113993896735,90.66574559185182,-4.117230705885482,-8.58890612188732,-5.962559960780565
23,20,-13,-1.829294892398214,87.83717557106603,-2.9984336191937477,-5.9627494676615225,-4.027804065022537
23,21,-10,-2.630753775075929,73.8641618990161,-1.3130297821154506,-2.9418408633479944,-3.0927503128013396
24,1,-20,-15.255562064015395,52.694710778599415,-0.3487152483590358,-4.9415328503454985,-4.826288086928068
24,2,-20,-3.6153079504865464,41.72055556684281,-1.4634028917307857,-5.5668057522040595,-4.873143944623842
24,3,-20,-2.0349386298910255,37.95665585521663,-2.859964566499668,-7.1631129623435115,-5.9774549117695726
24,4,-20,-1.4141071881367748,38.408839179380564,-3.698388765979528,-8.974979617295283,-6.783555163307072
24,5,-20,-1.0830338402162507,45.43332186147338,-4.460489660099246,-9.96539186284401,-6.766195684385762
24,6,-20,-0.8773287535236349,67.73807692891961,-5.17084455397876,-10.404828125349152,-6.208719030831515
24,7,-20,-0.737117216213397,78.20584488620858,-5.835807528470657,-10.404367502228595,-5.137785160925539
24,8,-20,-0.6353978188329921,81.4680132501963,-6.459488862598022,-10.008792982087087,-3.3423127382531144
24,9,-20,-0.5582101663252113,82.11425983697421,-7.044497723989625,-9.202531454868605,-0.21764891221517244
24,10,-19,-1.1603724619654388,83.56288009729965,-6.747524921911884,-13.544350121221663,-8.15615298622447
24,11,-19,-1.0196031074878336,84.58824572694132,-7.1858976953391,-12.139800657879762,-4.389525985159898
24,12,-18,-1.570435825080125,84.61150681505997,-6.7388928710265965,-17.363719674901425,-13.229376839105104
24,13,-18,-1.376375276580736,86.91367521945278,-7.019775604672516,-15.472259358518654,-9.502022651312641
24,14,-18,-1.2211935671718441,89.16394835408275,-7.2337086055506825,-13.161477284913639,-3.4324522820613055
24,15,-17,-1.6404922980807557,89.81712632281545,-6.631545774127824,-17.336832186049172,-13.136092486055064
24,16,-17,-1.4477232001701883,92.66512883544209,-6.655488978323924,-14.41143077101816,-7.430779296306824
24,17,-16,-1.8054838199384264,93.06273854211831,-5.9683199253118255,-16.575955392925174,-13.882889395854024
24,18,-16,-1.580060136859122,95.85113898043709,-5.75687722230361,-12.734658137930797,-7.981514655830898
24,19,-15,-1.8507278964176006,95.62652270779793,-4.912807464917273,-13.257505696198814,-10.814007980463966
24,20,-15,-1.5933932739666394,96.92357137700675,-4.355193822691528,-7.979439726725811,-3.4293128351296263
24,21,-14,-1.7220765556754778,93.76326233853425,-3.180938031105281,-5.351602569461254,-2.914035854946024
24,22,-11,-2.4816073934712186,79.41068302294484,-1.4174965886831534,-2.7256113652143528,-2.7166896583883733
25,1,-21,-15.974252241863374,56.624439556997366,-0.34851709138580533,-5.078346013261684,-4.9651003601038255
25,2,-21,-3.736535107910796,44.6742089504616,-1.4685732490777066,-5.704232171358281,-5.000740677487615
25,3,-21,-2.0988627334984105,40.47831749869547,-2.8799074450857685,-7.282729993290229,-6.08499168514313
25,4,-21,-1.457247979567792,40.643121585794994,-3.734076559943069,-9.174223253671775,-6.9589295479832485
25,5,-21,-1.115530438639497,47.30383893433519,-4.512604237250302,-10.252302989716712,-7.004269815896844
25,6,-21,-0.9033815467382633,68.64742944079157,-5.241177465995906,-10.779935057937507,-6.505196136904874
25,7,-21,-0.7588612826820806,82.33731789632823,-5.926061988230874,-10.868954316769235,-5.5002810948586855
25,8,-21,-0.6540648140226264,86.31095035772371,-6.57136450819066,-10.563693919165525,-3.810036000709533
25,9,-21,-0.5745751180640213,87.48797187671322,-7.179770629295462,-9.853939410520718,-0.9155603607081565
25,10,-20,-1.1968365589643808,88.73221720716771,-6.892929271377969,-14.414452654906903,-9.020145543661803
25,11,-20,-1.051765308957774,89.59429100501355,-7.362961700451554,-13.144278450920007,-5.57925310099439
25,12,-19,-1.6275629468950252,89.17840482020297,-6.937936272335166,-18.64700091266905,-14.509069713261134
25,13,-19,-1.4269371395797399,91.36865965674222,-7.261052996681832,-16.93191255215438,-11.126479041386851
25,14,-19,-1.2667274899826508,93.54987410261366,-7.5242409474654135,-14.8124741810775,-5.845064878862623
25,15,-18,-1.7135751878244854,93.8554843284341,-6.961082942673023,-19.476236637035544,-15.328733308032039
25,16,-18,-1.5139188289159442,96.74384342796284,-7.053683989659447,-16.780112360629918,-10.42925628012161
25,17,-18,-1.350178057809877,99.38078166392306,-7.058163423350867,-13.754678350228751,-1.9710790343785294
25,18,-17,-1.6732956088171935,99.99803171418978,-6.314662371929446,-16.02011175159066,-11.923985493333412
25,19,-17,-1.4802967045834372,102.49301602603504,-6.0803978429816485,-12.175024968966875,-3.5088043653973733
25,20,-16,-1.7274676202719212,102.27156294555853,-5.183841952199489,-12.642396053263063,-9.398587946008718
25,21,-15,-1.9329459362420187,100.86058453380339,-4.211784267685013,-11.822295317710214,-9.351209950245673
25,22,-15,-1.6288235613821354,99.6485982927924,-3.3665382736401095,-4.748781825527189,-0.504665833049744
25,23,-12,-2.342417940173449,84.9100161493462,-1.5223578451359425,-2.389070297466766,-2.194912847808955
26,1,-22,-16.680015616961366,60.64747368843014,-0.3483243000368071,-5.211507069776113,-5.1000080446534986
26,2,-22,-3.854436640596539,47.69517983191672,-1.4732241488736297,-5.838452837697975,-5.125246930447776
26,3,-22,-2.161004692259697,43.05572241293554,-2.898002058298956,-7.401110645290864,-6.187414604814388
26,4,-22,-1.4991806125110407,42.929722195855504,-3.766613723133525,-9.363412058703938,-7.124863556560373
26,5,-22,-1.147113612878273,49.243676573417275,-4.560171110426334,-10.523156265303227,-7.228651850342588
26,6,-22,-0.9286986008383877,69.72601321851906,-5.305418339006817,-11.134527492979997,-6.7848957638397955
26,7,-22,-0.7799873507780701,86.40924642954339,-6.008531701212542,-11.307715485508512,-5.840314075077584
26,8,-22,-0.6721966453889765,91.1001564645593,-6.673601125584294,-11.087655298702238,-4.244683396946035
26,9,-22,-0.590465418772236,92.81366466393642,-7.30336122035986,-10.469841979561204,-1.5480076614955383
26,10,-21,-1.2322225637805713,94.08183533930375,-7.024698815887917,-15.226679430377889,-9.817120355777112
26,11,-21,-1.082950453089988,94.77181275228307,-7.5230664560855,-14.084858790007267,-6.642609141087366
26,12,-21,-0.9644369760683333,95.60869018074007,-7.97742402941036,-12.468579077140095,-1.405454731888949
26,13,-20,-1.4757914874168372,95.9873135181672,-7.477200032024891,-18.279781467053265,-12.586361791844448
26,14,-20,-1.3106250968820472,98.07838927384014,-7.7832966911045895,-16.331624323622517,-7.8904173302768825
26,15,-19,-1.783840489947564,98.02582047850545,-7.252874930695269,-21.421041216275626,-17.30002101676347
26,16,-19,-1.5772785701142285,100.90625108562288,-7.403656498119088,-18.940922263505993,-12.960761733300341
